i a b c d t n alpha beta gamma epsilon A B C D
1 "" "" "" 1 -0.5 0.12533547935523e-1 "" "" "" "" "" "" "" ""
2 "" "" "" 1 0.875 0.78957634722828e1 "" "" "" "" "" "" "" ""
3 "" "" "" 1 1 -0.87803203303561e1 "" "" "" "" "" "" "" ""
4 "" "" "" 2 0.5 0.31802509345418 "" "" "" "" "" "" "" ""
5 "" "" "" 2 0.75 -0.26145533859358 "" "" "" "" "" "" "" ""
6 "" "" "" 3 0.375 -0.78199751687981e-2 "" "" "" "" "" "" "" ""
7 "" "" "" 4 1 0.88089493102134e-2 "" "" "" "" "" "" "" ""
8 "" "" 1 1 4 -0.66856572307965 "" "" "" "" "" "" "" ""
9 "" "" 1 1 6 0.20433810950965 "" "" "" "" "" "" "" ""
10 "" "" 1 1 12 -0.66212605039687e-4 "" "" "" "" "" "" "" ""
11 "" "" 1 2 1 -0.19232721156002 "" "" "" "" "" "" "" ""
12 "" "" 1 2 5 -0.25709043003438 "" "" "" "" "" "" "" ""
13 "" "" 1 3 4 0.16074868486251 "" "" "" "" "" "" "" ""
14 "" "" 1 4 2 -0.40092828925807e-1 "" "" "" "" "" "" "" ""
15 "" "" 1 4 13 0.39343422603254e-6 "" "" "" "" "" "" "" ""
16 "" "" 1 5 9 -0.75941377088144e-5 "" "" "" "" "" "" "" ""
17 "" "" 1 7 3 0.56250979351888e-3 "" "" "" "" "" "" "" ""
18 "" "" 1 9 4 -0.15608652257135e-4 "" "" "" "" "" "" "" ""
19 "" "" 1 10 11 0.11537996422951e-8 "" "" "" "" "" "" "" ""
20 "" "" 1 11 4 0.36582165144204e-6 "" "" "" "" "" "" "" ""
21 "" "" 1 13 13 -0.13251180074668e-11 "" "" "" "" "" "" "" ""
22 "" "" 1 15 1 -0.62639586912454e-9 "" "" "" "" "" "" "" ""
23 "" "" 2 1 7 -0.10793600908932 "" "" "" "" "" "" "" ""
24 "" "" 2 2 1 0.17611491008752e-1 "" "" "" "" "" "" "" ""
25 "" "" 2 2 9 0.22132295167546 "" "" "" "" "" "" "" ""
26 "" "" 2 2 10 -0.40247669763528 "" "" "" "" "" "" "" ""
27 "" "" 2 3 10 0.58083399985759 "" "" "" "" "" "" "" ""
28 "" "" 2 4 3 0.49969146990806e-2 "" "" "" "" "" "" "" ""
29 "" "" 2 4 7 -0.31358700712549e-1 "" "" "" "" "" "" "" ""
30 "" "" 2 4 10 -0.74315929710341 "" "" "" "" "" "" "" ""
31 "" "" 2 5 10 0.47807329915480 "" "" "" "" "" "" "" ""
32 "" "" 2 6 6 0.20527940895948e-1 "" "" "" "" "" "" "" ""
33 "" "" 2 6 10 -0.13636435110343 "" "" "" "" "" "" "" ""
34 "" "" 2 7 10 0.14180634400617e-1 "" "" "" "" "" "" "" ""
35 "" "" 2 9 1 0.83326504880713e-2 "" "" "" "" "" "" "" ""
36 "" "" 2 9 2 -0.29052336009585e-1 "" "" "" "" "" "" "" ""
37 "" "" 2 9 3 0.38615085574206e-1 "" "" "" "" "" "" "" ""
38 "" "" 2 9 4 -0.20393486513704e-1 "" "" "" "" "" "" "" ""
39 "" "" 2 9 8 -0.16554050063734e-2 "" "" "" "" "" "" "" ""
40 "" "" 2 10 6 0.19955571979541e-2 "" "" "" "" "" "" "" ""
41 "" "" 2 10 9 0.15870308324157e-3 "" "" "" "" "" "" "" ""
42 "" "" 2 12 8 -0.16388568342530e-4 "" "" "" "" "" "" "" ""
43 "" "" 3 3 16 0.43613615723811e-1 "" "" "" "" "" "" "" ""
44 "" "" 3 4 22 0.34994005463765e-1 "" "" "" "" "" "" "" ""
45 "" "" 3 4 23 -0.76788197844621e-1 "" "" "" "" "" "" "" ""
46 "" "" 3 5 23 0.22446277332006e-1 "" "" "" "" "" "" "" ""
47 "" "" 4 14 10 -0.62689710414685e-4 "" "" "" "" "" "" "" ""
48 "" "" 6 3 50 -0.55711118565645e-9 "" "" "" "" "" "" "" ""
49 "" "" 6 6 44 -0.19905718354408 "" "" "" "" "" "" "" ""
50 "" "" 6 6 46 0.31777497330738 "" "" "" "" "" "" "" ""
51 "" "" 6 6 50 -0.11841182425981 "" "" "" "" "" "" "" ""
52 "" "" "" 3 0 -0.31306260323435e2 20 150 1.21 1 "" "" "" ""
53 "" "" "" 3 1 0.31546140237781e2 20 150 1.21 1 "" "" "" ""
54 "" "" "" 3 4 -0.25213154341695e4 20 250 1.25 1 "" "" "" ""
55 3.5 0.85 "" "" "" -0.14874640856724 "" 0.3 "" "" 0.32 0.2 28 700
56 3.5 0.95 "" "" "" 0.31806110878444 "" 0.3 "" "" 0.32 0.2 32 800
